P_bar	T_C	V_cm3	dV_V0_pct	dx_x0_pct	dz_z0_pct
2000	400	22.9669	1.2293	0.4628	0.2988
2000	500	23.125	1.9259	0.7253	0.4633
2000	520	23.1608	2.084	0.7863	0.4973
2000	540	23.2061	2.2838	0.8672	0.5326
2000	560	23.253	2.4904	0.948	0.5745
2000	580	23.2989	2.6925	1.0326	0.6041
2000	600	23.3626	2.9734	1.136	0.6731
2000	610	23.4028	3.1505	1.2023	0.7142
2000	620	23.4548	3.3798	1.2934	0.7566
2000	630	23.641	4.2006	1.6177	0.9094
2000	640	23.6494	4.2375	1.6341	0.9125
2000	650	23.6528	4.2523	1.6398	0.9155
1800	25	22.586	-0.4495	-0.1709	-0.1084
1800	100	22.6575	-0.1346	-0.0502	-0.0343
1800	200	22.7566	0.3024	0.1149	0.0723
1800	300	22.8616	0.765	0.2874	0.1883
1800	400	22.9826	1.2985	0.4883	0.3164
1800	500	23.1411	1.9972	0.7523	0.4797
1800	520	23.1781	2.1601	0.8151	0.5148
1800	540	23.2247	2.3654	0.8984	0.5506
1800	560	23.273	2.5785	0.9816	0.5939
1800	580	23.3207	2.7889	1.0699	0.6242
1800	600	23.3886	3.088	1.1805	0.6965
1800	610	23.4318	3.2784	1.255	0.7341
1800	620	23.4755	3.471	1.3304	0.7718
1800	630	23.6193	4.1048	1.6014	0.849
1800	640	23.6531	4.2537	1.6463	0.904
1800	650	23.6601	4.2847	1.6501	0.9265
1600	25	22.5978	-0.3976	-0.1512	-0.0957
1600	100	22.6697	-0.0806	-0.0298	-0.021
1600	200	22.7689	0.3566	0.135	0.0862
1600	300	22.8745	0.8219	0.3086	0.2025
1600	400	22.9961	1.3579	0.5102	0.3315
1600	500	23.1579	2.071	0.7805	0.4961
1600	520	23.1957	2.2376	0.8447	0.532
1600	540	23.2434	2.4482	0.9299	0.5691
1600	560	23.2928	2.6656	1.015	0.6128
1600	580	23.3436	2.8896	1.1085	0.6439
1600	600	23.4182	3.2187	1.2316	0.7224
1600	610	23.4665	3.4315	1.3159	0.7622
1600	620	23.6538	4.2567	1.6365	0.9263
1600	630	23.6611	4.2889	1.6504	0.9299
1600	640	23.666	4.3107	1.6592	0.9335
1600	650	23.6679	4.3192	1.6618	0.9366
1400	25	22.6088	-0.349	-0.1335	-0.0824
1400	100	22.6811	-0.0304	-0.0114	-0.0076
1400	200	22.7815	0.4119	0.156	0.0994
1400	300	22.8872	0.8779	0.3295	0.2164
1400	400	23.0103	1.4208	0.5336	0.347
1400	500	23.1735	2.1401	0.8065	0.5123
1400	520	23.2121	2.3099	0.8716	0.5495
1400	540	23.2614	2.5273	0.9603	0.5862
1400	560	23.3129	2.7544	1.0489	0.6323
1400	580	23.3671	2.9934	1.1486	0.6676
1400	600	23.4488	3.3533	1.2834	0.7506
1400	610	23.496	3.5615	1.3637	0.7937
1400	620	23.6514	4.2462	1.624	0.941
1400	630	23.67	4.3281	1.6631	0.9426
1400	640	23.674	4.3459	1.671	0.9442
1400	650	23.6748	4.3495	1.6715	0.9466
1200	25	22.621	-0.2951	-0.1128	-0.0698
1200	100	22.6936	0.0246	0.0093	0.006
1200	200	22.7937	0.466	0.1755	0.1143
1200	300	22.9003	0.9358	0.3511	0.2308
1200	400	23.0248	1.4847	0.5575	0.3625
1200	500	23.1914	2.2188	0.8365	0.5299
1200	520	23.2311	2.3936	0.9038	0.5675
1200	540	23.2818	2.6172	0.9953	0.6046
1200	560	23.335	2.8515	1.0868	0.6519
1200	580	23.3932	3.1082	1.1932	0.691
1200	600	23.4854	3.5148	1.3462	0.7831
1200	610	23.6692	4.3247	1.6569	0.9517
1200	620	23.6748	4.3496	1.6685	0.9527
1200	630	23.678	4.3635	1.6748	0.9536
1200	640	23.6822	4.3822	1.6835	0.9545
1200	650	23.683	4.3856	1.684	0.9567
1000	25	22.6339	-0.2383	-0.0913	-0.0559
1000	100	22.7057	0.0779	0.0291	0.0197
1000	200	22.8059	0.5195	0.1953	0.128
1000	300	22.9135	0.994	0.3726	0.2456
1000	400	23.0397	1.5501	0.5821	0.3781
1000	500	23.2087	2.295	0.8659	0.5462
1000	520	23.2491	2.4733	0.9347	0.5842
1000	540	23.3024	2.7078	1.0302	0.6239
1000	560	23.3579	2.9528	1.1257	0.6735
1000	580	23.4211	3.2314	1.2416	0.7149
1000	600	23.5306	3.714	1.4241	0.8219
1000	610	23.6526	4.2517	1.6553	0.8842
1000	620	23.68	4.3723	1.6826	0.9466
1000	630	23.6862	4.3998	1.6872	0.9641
1000	640	23.6896	4.4145	1.6939	0.965
1000	650	23.6901	4.4169	1.6941	0.967
800	25	22.6453	-0.1884	-0.0725	-0.0433
800	100	22.7177	0.131	0.0495	0.0319
800	200	22.8187	0.5761	0.2162	0.1426
800	300	22.9267	1.0519	0.3942	0.2599
800	400	23.0548	1.6166	0.6067	0.3947
800	500	23.2261	2.3716	0.8953	0.5629
800	520	23.2671	2.5527	0.9651	0.6015
800	540	23.3231	2.7992	1.0654	0.6433
800	560	23.3814	3.0562	1.1657	0.6949
800	580	23.4519	3.3671	1.2944	0.7422
800	600	23.6815	4.379	1.6848	0.9488
800	610	23.6858	4.3978	1.6885	0.9596
800	620	23.6919	4.4248	1.6962	0.9704
800	630	23.6935	4.4317	1.6979	0.9737
800	640	23.6961	4.4432	1.7032	0.9743
800	650	23.698	4.4518	1.7063	0.9765
600	25	22.6576	-0.1338	-0.0518	-0.0303
600	100	22.7303	0.1865	0.0705	0.0454
600	200	22.8312	0.6311	0.2371	0.1556
600	300	22.9408	1.1144	0.418	0.2744
600	400	23.07	1.6838	0.6322	0.4102
600	500	23.2444	2.4525	0.9263	0.5805
600	520	23.287	2.6403	0.9987	0.6205
600	540	23.3458	2.8994	1.1042	0.6641
600	560	23.4071	3.1696	1.2098	0.7179
600	580	23.4681	3.4385	1.3153	0.7702
600	600	23.6864	4.4006	1.688	0.9633
600	610	23.6955	4.4406	1.7031	0.972
600	620	23.6998	4.4595	1.708	0.9806
600	630	23.7025	4.4714	1.7123	0.9835
600	640	23.7038	4.477	1.7146	0.9844
600	650	23.7051	4.4829	1.716	0.9873
400	25	22.6686	-0.0855	-0.0336	-0.0183
400	100	22.7421	0.2383	0.0899	0.0583
400	200	22.8445	0.6896	0.2589	0.1703
400	300	22.9542	1.1732	0.4397	0.2893
400	400	23.0857	1.7529	0.6581	0.4267
400	500	23.2635	2.5367	0.9581	0.5998
400	520	23.3072	2.7291	1.0323	0.6405
400	540	23.3698	3.005	1.1449	0.6863
400	560	23.4353	3.2939	1.2575	0.7442
400	580	23.5015	3.5857	1.3701	0.8045
400	600	23.7036	4.4764	1.718	0.977
400	610	23.7054	4.4841	1.7178	0.9849
400	620	23.7089	4.4996	1.7214	0.9927
400	630	23.711	4.5089	1.7245	0.9955
400	640	23.7123	4.5146	1.7268	0.9965
400	650	23.7133	4.5192	1.7277	0.9991
200	25	22.6803	-0.0338	-0.0145	-0.0048
200	100	22.7546	0.2934	0.1107	0.0717
200	200	22.8589	0.7531	0.283	0.1852
200	300	22.9706	1.2455	0.467	0.3064
200	400	23.104	1.8336	0.6888	0.4451
200	500	23.2846	2.6298	0.9932	0.6211
200	520	23.33	2.8298	1.0706	0.6629
200	540	23.3977	3.1279	1.1927	0.7112
200	560	23.4684	3.4398	1.3148	0.7725
200	580	23.6743	4.3472	1.7209	0.8464
200	600	23.7121	4.5138	1.7348	0.9798
200	610	23.7163	4.5323	1.7345	0.9983
200	620	23.7192	4.5451	1.7374	1.0049
200	630	23.721	4.5531	1.7401	1.0073
200	640	23.7221	4.558	1.742	1.0082
200	650	23.7229	4.5614	1.7422	1.0111
1	25	22.6929	0.0215	0.0074	0.0067
1	100	22.7671	0.3488	0.1316	0.0852
1	200	22.871	0.8065	0.3025	0.1994
1	300	22.9836	1.3028	0.4887	0.3199
1	400	23.1212	1.9094	0.7173	0.463
1	500	23.3067	2.727	1.0311	0.6409
1	520	23.3537	2.934	1.1114	0.6836
1	540	23.4272	3.2581	1.2448	0.7346
1	560	23.5043	3.5981	1.3781	0.8007
1	580	23.7134	4.5197	1.7418	0.9716
1	600	23.7266	4.5779	1.754	1.0036
1	610	23.7286	4.5867	1.7543	1.0115
1	620	23.7312	4.5981	1.7569	1.0174
1	630	23.7322	4.6024	1.7575	1.0203
1	640	23.7339	4.6101	1.7604	1.022
1	650	23.7355	4.6168	1.7623	1.0247
