# TC	P MPa	Mass g		SiO2	TiO2	Al2O3	Fe2O3	Cr2O3	FeO	MgO	CaO	Na2O	K2O	P2O5	H2O
1191.00	100.00	68.87		49.19	1.44	15.26	1.20	0.05	9.44	8.05	11.79	3.13	0.04	0.12	0.29
1190.00	100.00	67.82		49.19	1.46	15.23	1.21	0.05	9.53	7.99	11.72	3.16	0.04	0.12	0.29
1189.00	100.00	66.79		49.19	1.48	15.20	1.22	0.05	9.62	7.93	11.66	3.19	0.04	0.12	0.30
1188.00	100.00	65.79		49.20	1.50	15.17	1.23	0.05	9.70	7.88	11.59	3.22	0.04	0.12	0.30
1187.00	100.00	64.83		49.20	1.51	15.14	1.24	0.05	9.79	7.82	11.53	3.24	0.05	0.12	0.31
1186.00	100.00	63.89		49.21	1.53	15.11	1.25	0.05	9.88	7.76	11.46	3.27	0.05	0.13	0.31
1185.00	100.00	62.98		49.21	1.55	15.07	1.26	0.05	9.96	7.71	11.40	3.30	0.05	0.13	0.32
1184.00	100.00	62.09		49.21	1.57	15.04	1.27	0.05	10.04	7.65	11.34	3.33	0.05	0.13	0.32
1183.00	100.00	61.23		49.21	1.59	15.01	1.28	0.05	10.13	7.60	11.27	3.35	0.05	0.13	0.33
1182.00	100.00	60.39		49.22	1.61	14.98	1.29	0.05	10.21	7.54	11.21	3.38	0.05	0.13	0.33
1181.00	100.00	59.57		49.22	1.63	14.95	1.30	0.05	10.29	7.49	11.15	3.41	0.05	0.13	0.34
1180.00	100.00	58.78		49.22	1.65	14.92	1.31	0.05	10.38	7.43	11.09	3.43	0.05	0.14	0.34
1179.00	100.00	58.00		49.22	1.67	14.89	1.31	0.05	10.46	7.38	11.03	3.46	0.05	0.14	0.34
1178.00	100.00	57.25		49.23	1.68	14.86	1.32	0.05	10.54	7.33	10.97	3.48	0.05	0.14	0.35
1177.00	100.00	56.51		49.23	1.70	14.83	1.33	0.05	10.62	7.27	10.91	3.51	0.05	0.14	0.35
1176.00	100.00	55.80		49.23	1.72	14.80	1.34	0.05	10.70	7.22	10.85	3.53	0.05	0.14	0.36
1175.00	100.00	55.10		49.23	1.74	14.77	1.35	0.05	10.78	7.17	10.79	3.56	0.05	0.15	0.36
1174.00	100.00	54.42		49.23	1.76	14.74	1.36	0.05	10.86	7.12	10.73	3.58	0.05	0.15	0.37
1173.00	100.00	53.75		49.23	1.78	14.70	1.37	0.05	10.94	7.06	10.67	3.61	0.05	0.15	0.37
1172.00	100.00	53.10		49.24	1.79	14.67	1.38	0.05	11.02	7.01	10.62	3.63	0.05	0.15	0.38
1171.00	100.00	52.47		49.24	1.81	14.64	1.39	0.05	11.10	6.96	10.56	3.66	0.06	0.15	0.38
1170.00	100.00	51.85		49.24	1.83	14.61	1.40	0.05	11.18	6.91	10.50	3.68	0.06	0.15	0.39
1169.00	100.00	51.24		49.24	1.85	14.58	1.41	0.05	11.26	6.86	10.45	3.70	0.06	0.16	0.39
1168.00	100.00	50.65		49.24	1.87	14.55	1.42	0.05	11.33	6.81	10.39	3.73	0.06	0.16	0.39
1167.00	100.00	50.07		49.24	1.89	14.52	1.43	0.05	11.41	6.76	10.33	3.75	0.06	0.16	0.40
1166.00	100.00	49.51		49.24	1.90	14.49	1.44	0.05	11.49	6.71	10.28	3.78	0.06	0.16	0.40
1165.00	100.00	48.95		49.24	1.92	14.45	1.45	0.05	11.56	6.67	10.23	3.80	0.06	0.16	0.41
1164.00	100.00	48.41		49.24	1.94	14.42	1.46	0.05	11.64	6.62	10.17	3.82	0.06	0.17	0.41
1163.00	100.00	47.88		49.24	1.96	14.39	1.47	0.05	11.72	6.57	10.12	3.85	0.06	0.17	0.42
1162.00	100.00	47.36		49.24	1.98	14.36	1.48	0.05	11.79	6.52	10.06	3.87	0.06	0.17	0.42
1161.00	100.00	46.85		49.24	1.99	14.33	1.49	0.05	11.87	6.47	10.01	3.89	0.06	0.17	0.43
1160.00	100.00	46.36		49.24	2.01	14.30	1.50	0.05	11.94	6.43	9.96	3.91	0.06	0.17	0.43
1159.00	100.00	45.87		49.24	2.03	14.26	1.51	0.05	12.02	6.38	9.91	3.94	0.06	0.17	0.44
1158.00	100.00	45.39		49.24	2.05	14.23	1.52	0.05	12.09	6.33	9.86	3.96	0.06	0.18	0.44
1157.00	100.00	44.92		49.24	2.07	14.20	1.53	0.04	12.16	6.29	9.80	3.98	0.06	0.18	0.45
1156.00	100.00	44.47		49.24	2.08	14.17	1.54	0.04	12.24	6.24	9.75	4.00	0.06	0.18	0.45
1155.00	100.00	44.02		49.23	2.10	14.14	1.55	0.04	12.31	6.20	9.70	4.02	0.06	0.18	0.45
1154.00	100.00	43.57		49.23	2.12	14.10	1.56	0.04	12.38	6.15	9.65	4.05	0.07	0.18	0.46
1153.00	100.00	43.14		49.23	2.14	14.07	1.57	0.04	12.45	6.10	9.60	4.07	0.07	0.19	0.46
1152.00	100.00	42.72		49.23	2.15	14.04	1.58	0.04	12.53	6.06	9.55	4.09	0.07	0.19	0.47
1151.00	100.00	42.30		49.23	2.17	14.01	1.59	0.04	12.60	6.02	9.51	4.11	0.07	0.19	0.47
1150.00	100.00	41.89		49.23	2.19	13.98	1.60	0.04	12.67	5.97	9.46	4.13	0.07	0.19	0.48
1149.00	100.00	41.49		49.23	2.21	13.94	1.61	0.04	12.74	5.93	9.41	4.15	0.07	0.19	0.48
1148.00	100.00	41.10		49.23	2.22	13.91	1.62	0.04	12.81	5.88	9.36	4.17	0.07	0.19	0.49
1147.00	100.00	40.71		49.22	2.24	13.88	1.63	0.04	12.88	5.84	9.31	4.19	0.07	0.20	0.49
1146.00	100.00	40.33		49.22	2.26	13.85	1.64	0.04	12.95	5.80	9.27	4.21	0.07	0.20	0.50
1145.00	100.00	39.95		49.22	2.28	13.81	1.65	0.04	13.02	5.75	9.22	4.23	0.07	0.20	0.50
1144.00	100.00	39.59		49.22	2.29	13.78	1.66	0.04	13.09	5.71	9.17	4.25	0.07	0.20	0.51
1143.00	100.00	39.23		49.22	2.31	13.75	1.67	0.04	13.16	5.67	9.13	4.27	0.07	0.20	0.51
1142.00	100.00	38.87		49.22	2.33	13.71	1.68	0.04	13.23	5.63	9.08	4.29	0.07	0.21	0.51
1141.00	100.00	38.52		49.21	2.35	13.68	1.69	0.04	13.30	5.58	9.04	4.31	0.07	0.21	0.52
1140.00	100.00	38.18		49.21	2.36	13.65	1.70	0.04	13.37	5.54	8.99	4.33	0.07	0.21	0.52
1139.00	100.00	37.84		49.21	2.38	13.62	1.71	0.04	13.43	5.50	8.95	4.35	0.07	0.21	0.53
1138.00	100.00	37.51		49.21	2.40	13.58	1.72	0.03	13.50	5.46	8.90	4.37	0.08	0.21	0.53
1137.00	100.00	37.18		49.21	2.41	13.55	1.73	0.03	13.57	5.42	8.86	4.39	0.08	0.22	0.54
1136.00	100.00	36.86		49.21	2.43	13.52	1.74	0.03	13.63	5.38	8.81	4.41	0.08	0.22	0.54
1135.00	100.00	36.54		49.20	2.45	13.48	1.75	0.03	13.70	5.33	8.77	4.43	0.08	0.22	0.55
1134.00	100.00	36.23		49.20	2.46	13.45	1.76	0.03	13.77	5.29	8.73	4.45	0.08	0.22	0.55
1133.00	100.00	35.92		49.20	2.48	13.42	1.77	0.03	13.83	5.25	8.68	4.47	0.08	0.22	0.56
1132.00	100.00	35.61		49.20	2.50	13.39	1.78	0.03	13.90	5.21	8.64	4.49	0.08	0.22	0.56
1131.00	100.00	35.31		49.20	2.51	13.35	1.79	0.03	13.96	5.17	8.60	4.51	0.08	0.23	0.57
1130.00	100.00	35.02		49.20	2.53	13.32	1.80	0.03	14.03	5.13	8.56	4.53	0.08	0.23	0.57
1129.00	100.00	34.73		49.20	2.55	13.29	1.81	0.03	14.09	5.09	8.52	4.55	0.08	0.23	0.58
1128.00	100.00	34.44		49.20	2.56	13.25	1.82	0.03	14.16	5.05	8.47	4.56	0.08	0.23	0.58
1127.00	100.00	34.15		49.20	2.58	13.22	1.83	0.02	14.22	5.01	8.43	4.58	0.08	0.23	0.59
1126.00	100.00	33.87		49.20	2.59	13.19	1.84	0.02	14.28	4.97	8.39	4.60	0.08	0.24	0.59
1125.00	100.00	33.59		49.21	2.61	13.16	1.85	0.02	14.34	4.93	8.35	4.62	0.08	0.24	0.60
1124.00	100.00	33.32		49.21	2.62	13.12	1.86	0.02	14.41	4.89	8.31	4.64	0.08	0.24	0.60
1123.00	100.00	33.04		49.21	2.64	13.09	1.86	0.02	14.47	4.85	8.27	4.66	0.08	0.24	0.61
1122.00	100.00	32.78		49.22	2.65	13.06	1.87	0.02	14.53	4.81	8.23	4.68	0.09	0.24	0.61
1121.00	100.00	32.51		49.22	2.66	13.02	1.88	0.02	14.59	4.77	8.19	4.70	0.09	0.25	0.62
1120.00	100.00	32.24		49.23	2.68	12.99	1.89	0.01	14.65	4.73	8.15	4.72	0.09	0.25	0.62
1119.00	100.00	31.98		49.23	2.69	12.96	1.90	0.01	14.71	4.70	8.11	4.73	0.09	0.25	0.63
1118.00	100.00	31.72		49.24	2.70	12.93	1.91	0.01	14.77	4.66	8.07	4.75	0.09	0.25	0.63
1117.00	100.00	31.46		49.25	2.71	12.89	1.91	0.01	14.82	4.62	8.03	4.77	0.09	0.25	0.64
1116.00	100.00	31.21		49.25	2.72	12.86	1.92	0.01	14.88	4.58	7.99	4.79	0.09	0.26	0.64
1115.00	100.00	30.95		49.26	2.73	12.83	1.93	0.01	14.94	4.54	7.95	4.81	0.09	0.26	0.65
1114.00	100.00	30.70		49.28	2.74	12.80	1.94	0.01	14.99	4.50	7.91	4.83	0.09	0.26	0.65
1113.00	100.00	30.45		49.29	2.75	12.77	1.95	0.00	15.05	4.46	7.88	4.85	0.09	0.26	0.66
1112.00	100.00	30.20		49.30	2.76	12.73	1.95	0.00	15.10	4.42	7.84	4.87	0.09	0.26	0.66
1111.00	100.00	29.95		49.31	2.77	12.70	1.96	0.00	15.16	4.38	7.80	4.89	0.09	0.27	0.67
1110.00	100.00	29.70		49.33	2.78	12.67	1.97	0.00	15.21	4.34	7.76	4.91	0.09	0.27	0.67
1109.00	100.00	29.46		49.35	2.78	12.64	1.97	0.00	15.26	4.30	7.72	4.93	0.09	0.27	0.68
1108.00	100.00	29.21		49.37	2.79	12.61	1.98	0.00	15.31	4.26	7.68	4.95	0.09	0.27	0.68
1107.00	100.00	28.96		49.39	2.79	12.58	1.99	0.00	15.36	4.22	7.64	4.97	0.10	0.28	0.69
1106.00	100.00	28.71		49.42	2.79	12.55	1.99	0.00	15.41	4.18	7.60	5.00	0.10	0.28	0.70
1105.00	100.00	28.42		49.47	2.78	12.52	1.99	0.00	15.44	4.13	7.56	5.02	0.10	0.28	0.70
1104.00	100.00	28.02		49.61	2.72	12.50	1.97	0.00	15.45	4.07	7.50	5.07	0.10	0.29	0.71
1103.00	100.00	28.02		49.61	2.72	12.50	1.97	0.00	15.45	4.07	7.50	5.07	0.10	0.29	0.71
1102.00	100.00	27.60		49.62	2.74	12.43	2.00	0.00	15.57	4.00	7.43	5.10	0.10	0.29	0.72
1101.00	100.00	27.29		49.68	2.70	12.40	2.01	0.00	15.63	3.95	7.38	5.14	0.10	0.29	0.73
1100.00	100.00	26.98		49.73	2.66	12.36	2.02	0.00	15.70	3.90	7.33	5.17	0.10	0.30	0.74
1099.00	100.00	26.68		49.79	2.62	12.32	2.03	0.00	15.76	3.85	7.28	5.20	0.10	0.30	0.75
1098.00	100.00	26.38		49.85	2.58	12.28	2.04	0.00	15.83	3.80	7.23	5.23	0.10	0.30	0.76
1097.00	100.00	26.10		49.90	2.54	12.25	2.05	0.00	15.89	3.75	7.18	5.26	0.11	0.31	0.77
1096.00	100.00	25.82		49.96	2.50	12.21	2.06	0.00	15.95	3.70	7.13	5.29	0.11	0.31	0.77
1095.00	100.00	25.55		50.01	2.46	12.17	2.07	0.00	16.02	3.66	7.09	5.32	0.11	0.31	0.78
1094.00	100.00	25.28		50.06	2.43	12.13	2.08	0.00	16.08	3.61	7.04	5.35	0.11	0.32	0.79
1093.00	100.00	25.02		50.11	2.39	12.09	2.10	0.00	16.14	3.56	7.00	5.38	0.11	0.32	0.80
1092.00	100.00	24.77		50.17	2.36	12.06	2.11	0.00	16.20	3.52	6.95	5.41	0.11	0.32	0.81
1091.00	100.00	24.52		50.22	2.33	12.02	2.12	0.00	16.26	3.47	6.91	5.43	0.11	0.33	0.82
1090.00	100.00	24.28		50.27	2.29	11.98	2.13	0.00	16.31	3.43	6.86	5.46	0.11	0.33	0.82
1089.00	100.00	24.04		50.32	2.26	11.94	2.14	0.00	16.37	3.38	6.82	5.49	0.11	0.33	0.83
1088.00	100.00	23.81		50.36	2.23	11.90	2.15	0.00	16.43	3.34	6.78	5.52	0.11	0.34	0.84
1087.00	100.00	23.58		50.41	2.20	11.86	2.17	0.00	16.48	3.30	6.74	5.55	0.12	0.34	0.85
1086.00	100.00	23.36		50.46	2.17	11.82	2.18	0.00	16.54	3.25	6.70	5.57	0.12	0.34	0.86
1085.00	100.00	23.14		50.51	2.14	11.78	2.19	0.00	16.59	3.21	6.66	5.60	0.12	0.35	0.86
1084.00	100.00	22.93		50.55	2.11	11.74	2.20	0.00	16.64	3.17	6.62	5.63	0.12	0.35	0.87
1083.00	100.00	22.72		50.60	2.08	11.70	2.21	0.00	16.69	3.13	6.58	5.65	0.12	0.35	0.88
1082.00	100.00	22.51		50.64	2.05	11.66	2.23	0.00	16.75	3.09	6.54	5.68	0.12	0.36	0.89
1081.00	100.00	22.31		50.69	2.02	11.62	2.24	0.00	16.80	3.04	6.51	5.71	0.12	0.36	0.90
1080.00	100.00	22.11		50.73	2.00	11.58	2.25	0.00	16.85	3.00	6.47	5.73	0.12	0.36	0.90
1079.00	100.00	21.92		50.78	1.97	11.54	2.26	0.00	16.89	2.96	6.43	5.76	0.12	0.37	0.91
1078.00	100.00	21.73		50.82	1.95	11.50	2.27	0.00	16.94	2.92	6.40	5.78	0.12	0.37	0.92
1077.00	100.00	21.54		50.87	1.92	11.46	2.29	0.00	16.99	2.89	6.36	5.81	0.13	0.37	0.93
1076.00	100.00	21.35		50.91	1.90	11.42	2.30	0.00	17.04	2.85	6.33	5.83	0.13	0.37	0.94
1075.00	100.00	21.17		50.95	1.87	11.37	2.31	0.00	17.08	2.81	6.29	5.86	0.13	0.38	0.94
1074.00	100.00	21.00		50.99	1.85	11.33	2.32	0.00	17.13	2.77	6.26	5.88	0.13	0.38	0.95
1073.00	100.00	20.82		51.04	1.82	11.29	2.34	0.00	17.17	2.73	6.23	5.91	0.13	0.38	0.96
1072.00	100.00	20.65		51.08	1.80	11.25	2.35	0.00	17.21	2.69	6.20	5.93	0.13	0.39	0.97
1071.00	100.00	20.48		51.12	1.78	11.21	2.36	0.00	17.25	2.66	6.16	5.96	0.13	0.39	0.98
1070.00	100.00	20.31		51.16	1.76	11.17	2.38	0.00	17.30	2.62	6.13	5.98	0.13	0.39	0.98
1069.00	100.00	20.15		51.20	1.73	11.13	2.39	0.00	17.34	2.58	6.10	6.00	0.13	0.40	0.99
1068.00	100.00	19.99		51.24	1.71	11.09	2.40	0.00	17.38	2.55	6.07	6.03	0.13	0.40	1.00
1067.00	100.00	19.83		51.28	1.69	11.04	2.41	0.00	17.41	2.51	6.04	6.05	0.13	0.40	1.01
1066.00	100.00	19.67		51.32	1.67	11.00	2.43	0.00	17.45	2.48	6.01	6.07	0.14	0.41	1.02
1065.00	100.00	19.52		51.37	1.65	10.96	2.44	0.00	17.49	2.44	5.98	6.10	0.14	0.41	1.02
1064.00	100.00	19.37		51.41	1.63	10.92	2.45	0.00	17.53	2.41	5.96	6.12	0.14	0.41	1.03
1063.00	100.00	19.22		51.45	1.61	10.88	2.47	0.00	17.56	2.37	5.93	6.14	0.14	0.42	1.04
1062.00	100.00	19.07		51.49	1.59	10.84	2.48	0.00	17.60	2.34	5.90	6.17	0.14	0.42	1.05
1061.00	100.00	18.93		51.53	1.57	10.79	2.49	0.00	17.63	2.30	5.87	6.19	0.14	0.42	1.06
1060.00	100.00	18.78		51.57	1.55	10.75	2.51	0.00	17.66	2.27	5.85	6.21	0.14	0.43	1.06
1059.00	100.00	18.64		51.61	1.53	10.71	2.52	0.00	17.69	2.24	5.82	6.24	0.14	0.43	1.07
1058.00	100.00	18.50		51.64	1.52	10.67	2.53	0.00	17.73	2.20	5.79	6.26	0.14	0.43	1.08
1057.00	100.00	18.37		51.68	1.50	10.63	2.55	0.00	17.76	2.17	5.77	6.28	0.14	0.44	1.09
1056.00	100.00	18.23		51.72	1.48	10.58	2.56	0.00	17.79	2.14	5.74	6.30	0.14	0.44	1.10
1055.00	100.00	18.10		51.76	1.46	10.54	2.57	0.00	17.81	2.11	5.72	6.33	0.15	0.44	1.11
1054.00	100.00	17.97		51.80	1.45	10.50	2.59	0.00	17.84	2.07	5.69	6.35	0.15	0.45	1.11
1053.00	100.00	17.84		51.84	1.43	10.46	2.60	0.00	17.87	2.04	5.67	6.37	0.15	0.45	1.12
1052.00	100.00	17.71		51.88	1.41	10.42	2.62	0.00	17.90	2.01	5.65	6.39	0.15	0.45	1.13
1051.00	100.00	17.58		51.92	1.40	10.38	2.63	0.00	17.92	1.98	5.62	6.41	0.15	0.46	1.14
1050.00	100.00	17.46		51.96	1.38	10.33	2.64	0.00	17.94	1.95	5.60	6.44	0.15	0.46	1.15
1049.00	100.00	17.33		52.00	1.36	10.29	2.66	0.00	17.97	1.92	5.58	6.46	0.15	0.46	1.15
1048.00	100.00	17.21		52.04	1.35	10.25	2.67	0.00	17.99	1.89	5.55	6.48	0.15	0.46	1.16
1047.00	100.00	17.09		52.08	1.33	10.21	2.69	0.00	18.01	1.86	5.53	6.50	0.15	0.47	1.17
1046.00	100.00	16.97		52.12	1.32	10.17	2.70	0.00	18.03	1.83	5.51	6.52	0.15	0.47	1.18
1045.00	100.00	16.85		52.16	1.30	10.12	2.71	0.00	18.05	1.80	5.49	6.55	0.16	0.47	1.19
1044.00	100.00	16.74		52.19	1.29	10.08	2.73	0.00	18.07	1.77	5.47	6.57	0.16	0.48	1.19
1043.00	100.00	16.62		52.23	1.27	10.04	2.74	0.00	18.09	1.74	5.45	6.59	0.16	0.48	1.20
1042.00	100.00	16.51		52.27	1.26	10.00	2.76	0.00	18.11	1.71	5.43	6.61	0.16	0.48	1.21
1041.00	100.00	16.40		52.31	1.25	9.96	2.77	0.00	18.12	1.68	5.41	6.63	0.16	0.49	1.22
1040.00	100.00	16.29		52.35	1.23	9.92	2.79	0.00	18.14	1.66	5.39	6.65	0.16	0.49	1.23
1039.00	100.00	16.18		52.39	1.22	9.88	2.80	0.00	18.15	1.63	5.37	6.67	0.16	0.49	1.24
1038.00	100.00	16.07		52.43	1.20	9.83	2.82	0.00	18.17	1.60	5.35	6.70	0.16	0.50	1.24
1037.00	100.00	15.96		52.47	1.19	9.79	2.83	0.00	18.18	1.57	5.33	6.72	0.16	0.50	1.25
1036.00	100.00	15.86		52.51	1.18	9.75	2.84	0.00	18.19	1.55	5.31	6.74	0.16	0.50	1.26
1035.00	100.00	15.75		52.55	1.16	9.71	2.86	0.00	18.20	1.52	5.29	6.76	0.16	0.51	1.27
1034.00	100.00	15.65		52.59	1.15	9.67	2.87	0.00	18.21	1.49	5.27	6.78	0.17	0.51	1.28
1033.00	100.00	15.55		52.63	1.14	9.63	2.89	0.00	18.22	1.47	5.25	6.80	0.17	0.51	1.29
1032.00	100.00	15.45		52.67	1.13	9.59	2.90	0.00	18.23	1.44	5.24	6.82	0.17	0.52	1.29
1031.00	100.00	15.35		52.71	1.11	9.55	2.92	0.00	18.24	1.42	5.22	6.84	0.17	0.52	1.30
1030.00	100.00	15.25		52.75	1.10	9.51	2.93	0.00	18.25	1.39	5.20	6.87	0.17	0.52	1.31
1029.00	100.00	15.15		52.79	1.09	9.47	2.95	0.00	18.25	1.37	5.18	6.89	0.17	0.53	1.32
1028.00	100.00	15.06		52.83	1.08	9.42	2.96	0.00	18.26	1.34	5.17	6.91	0.17	0.53	1.33
1027.00	100.00	14.96		52.87	1.07	9.38	2.98	0.00	18.26	1.32	5.15	6.93	0.17	0.53	1.34
1026.00	100.00	14.87		52.91	1.06	9.34	2.99	0.00	18.27	1.29	5.13	6.95	0.17	0.54	1.35
1025.00	100.00	14.77		52.95	1.04	9.30	3.01	0.00	18.27	1.27	5.12	6.97	0.17	0.54	1.35
1024.00	100.00	14.68		52.99	1.03	9.26	3.02	0.00	18.27	1.24	5.10	6.99	0.17	0.54	1.36
1023.00	100.00	14.59		53.03	1.02	9.22	3.04	0.00	18.27	1.22	5.08	7.01	0.18	0.55	1.37
1022.00	100.00	14.50		53.07	1.01	9.18	3.06	0.00	18.27	1.20	5.07	7.03	0.18	0.55	1.38
1021.00	100.00	14.41		53.11	1.00	9.14	3.07	0.00	18.27	1.18	5.05	7.06	0.18	0.56	1.39
1020.00	100.00	14.32		53.15	0.99	9.10	3.09	0.00	18.27	1.15	5.04	7.08	0.18	0.56	1.40
1019.00	100.00	14.23		53.19	0.98	9.06	3.10	0.00	18.27	1.13	5.02	7.10	0.18	0.56	1.41
1018.00	100.00	14.15		53.23	0.97	9.02	3.12	0.00	18.27	1.11	5.01	7.12	0.18	0.57	1.41
1017.00	100.00	14.06		53.27	0.96	8.98	3.13	0.00	18.27	1.09	4.99	7.14	0.18	0.57	1.42
1016.00	100.00	13.98		53.31	0.95	8.94	3.15	0.00	18.26	1.06	4.98	7.16	0.18	0.57	1.43
1015.00	100.00	13.89		53.35	0.94	8.90	3.16	0.00	18.26	1.04	4.96	7.18	0.18	0.58	1.44
1014.00	100.00	13.81		53.39	0.93	8.86	3.18	0.00	18.25	1.02	4.95	7.20	0.18	0.58	1.45
1013.00	100.00	13.73		53.43	0.92	8.82	3.19	0.00	18.24	1.00	4.94	7.22	0.18	0.58	1.46
1012.00	100.00	13.65		53.48	0.91	8.79	3.21	0.00	18.24	0.98	4.92	7.24	0.19	0.59	1.47
1011.00	100.00	13.56		53.52	0.90	8.75	3.23	0.00	18.23	0.96	4.91	7.26	0.19	0.59	1.47
1010.00	100.00	13.49		53.56	0.89	8.71	3.24	0.00	18.22	0.94	4.89	7.29	0.19	0.59	1.48
1009.00	100.00	13.41		53.60	0.88	8.67	3.26	0.00	18.21	0.92	4.88	7.31	0.19	0.60	1.49
1008.00	100.00	13.33		53.64	0.87	8.63	3.27	0.00	18.20	0.90	4.87	7.33	0.19	0.60	1.50
1007.00	100.00	13.25		53.68	0.86	8.59	3.29	0.00	18.19	0.88	4.85	7.35	0.19	0.60	1.51
1006.00	100.00	13.17		53.72	0.85	8.55	3.30	0.00	18.18	0.86	4.84	7.37	0.19	0.61	1.52
1005.00	100.00	13.10		53.76	0.84	8.51	3.32	0.00	18.17	0.84	4.83	7.39	0.19	0.61	1.53
1004.00	100.00	13.02		53.81	0.84	8.48	3.33	0.00	18.15	0.83	4.82	7.41	0.19	0.61	1.54
1003.00	100.00	12.95		53.85	0.83	8.44	3.35	0.00	18.14	0.81	4.80	7.43	0.19	0.62	1.54
1002.00	100.00	12.88		53.89	0.82	8.40	3.37	0.00	18.13	0.79	4.79	7.45	0.19	0.62	1.55
1001.00	100.00	12.80		53.93	0.81	8.36	3.38	0.00	18.11	0.77	4.78	7.47	0.20	0.62	1.56
1000.00	100.00	12.73		53.97	0.80	8.32	3.40	0.00	18.10	0.75	4.77	7.49	0.20	0.63	1.57
999.00	100.00	12.66		54.01	0.79	8.29	3.41	0.00	18.08	0.74	4.75	7.51	0.20	0.63	1.58
998.00	100.00	12.59		54.06	0.78	8.25	3.43	0.00	18.06	0.72	4.74	7.53	0.20	0.64	1.59
997.00	100.00	12.52		54.10	0.78	8.21	3.45	0.00	18.05	0.70	4.73	7.56	0.20	0.64	1.60
996.00	100.00	12.45		54.14	0.77	8.17	3.46	0.00	18.03	0.69	4.72	7.58	0.20	0.64	1.61
995.00	100.00	12.38		54.18	0.76	8.14	3.48	0.00	18.01	0.67	4.71	7.60	0.20	0.65	1.62
994.00	100.00	12.32		54.22	0.75	8.10	3.49	0.00	17.99	0.65	4.69	7.62	0.20	0.65	1.62
